VariantID|RemoteSystemId|SourceId|VariantUpcId|Upc
1349317|000055332|1|866956|0845840057964
1350513|000567925|1|869345|5014991039982
1351264|000382903|1|870830|5050995378030
1351268|000469387|1|870838|5050995378047
1351272|000781383|1|870846|5051746730558
1351276|000498563|1|870854|5050995377996
1351279|000498575|1|870860|5050995378016
1351281|000498602|1|870864|5050995378023
1351284|000842220|1|870870|5050995428162
1351931|000512032|1|872153|5052189447416
1351934|000512415|1|872159|5052189465441
1351936|000512417|1|872163|5052189465465
1351939|000512418|1|872169|5052189465472
1351941|000556985|1|872173|0505112296387
1351944|000512420|1|872179|5052189465489
1351945|000556986|1|872181|0505112296388
1351949|000382980|1|872189|0871209115891
1351952|000382984|1|872195|0871209115907
1351955|000382986|1|872201|0871209115914
1351960|000382987|1|872211|0871209115921
1351965|000382995|1|872221|0871209115938
1351971|000382996|1|872233|0871209115945
1351975|000382997|1|872243|0871209115952
1351983|000382998|1|872257|0871209115969
1351988|000484172|1|872271|0871209115884
1352359|000020598|1|873004|5051746380005
1352514|000550795|1|873313|5052071638632
1352571|000659353|1|873429|5052071862358
1352576|000659355|1|873437|5052071862365
1352578|000659372|1|873441|5052071862211
1352581|000659356|1|873447|5052071862372
1352583|000659374|1|873451|5052071862228
1352586|000659357|1|873457|5052071862389
1352588|000659375|1|873461|5052071862235
1352589|000659358|1|873463|5052071862396
1352590|000659376|1|873465|5052071862242
1352591|000659377|1|873467|5052071862259
1352612|000554465|1|873507|5053775006673
1352615|000554466|1|873513|5053775006680
1352618|000554468|1|873519|5053775006697
1352621|000554469|1|873525|5053775006703
1352624|000554470|1|873531|5053775006710
1352627|000554471|1|873537|5053775006727
1352631|000842459|1|873545|0887194038251
1352635|000842460|1|873553|0887194038299
1352639|000842461|1|873561|0887194038343
1352643|000842462|1|873569|0887194038275
1352647|000842464|1|873581|0887194038312
1352702|000551693|1|873687|0098681152477
1352717|000747878|1|873717|5054330683650
1352720|000747880|1|873723|5054330683667
1352721|000347692|1|873725|5060242683428
1352722|000346052|1|873727|5060242683404
1352723|000747882|1|873729|5054330683674
1352726|000747883|1|873735|5054330683681
1352733|000747960|1|873749|5054330683698
1352739|000748048|1|873761|5054330683704
1352751|000748063|1|873785|5054330683711
1352757|000748185|1|873797|5054330683728
1352762|000749307|1|873806|5054330683735
1352765|000749573|1|873812|5054330683742
1352770|000751545|1|873822|5054330683759
1352780|000751722|1|873842|5054330683766
1352789|000752887|1|873860|5054330683773
1352797|000752934|1|873876|5054330683780
1352802|000754704|1|873886|5054330683797
1352806|000756022|1|873896|5054330683803
1352822|000302271|1|873926|5054330683827
1352838|000302424|1|873958|5054330683834
1352842|000303097|1|873965|5054330683841
1352846|000303141|1|873972|5054330683858
1352880|000880596|1|874038|0845136042667
1352882|000880591|1|874042|0845136041936
1352951|000356428|1|874180|0753759120597
1352983|000315240|1|874244|4033157789845
1353000|000315266|1|874278|4033157789890
1353383|000453708|1|875044|0044209492761
1353387|000453709|1|875052|0044209492785
1353391|000453710|1|875060|0044209492808
1353396|000453711|1|875070|0044209492822
1353400|000453712|1|875078|0044209492846
1353412|000451665|1|875102|5052071808516
1353415|000451666|1|875108|5052071808509
1353420|000451667|1|875118|5052071808493
1353423|000451669|1|875124|5052071808523
1353425|000451671|1|875130|5052071808530
1353714|000200028|1|875700|0797240230860
1353717|000200030|1|875708|0797240230877
1353722|000200034|1|875714|0797240230907
1353725|000200035|1|875722|0797240230914
1353729|000880590|1|875732|0797240230853
1353733|000205002|1|875738|5053744080482
1353735|000205003|1|875742|5053744080499
1353738|000205006|1|875748|5053744080512
1353740|000431687|1|875752|5053744080529
1354272|000280935|1|876810|5052071926180
1354273|000280937|1|876815|5052071926203
1354276|000280938|1|876821|5052071926227
1354278|000280939|1|876825|5052071926098
1354280|000281027|1|876829|5052071926135
1354290|001411866|1|876849|5052071926210
1354474|000113683|1|877217|5052071625649
1354878|001550271|1|878017|0192360800083
1356356|000786669|1|880967|5051746730893
1356359|000786670|1|880973|5051746730909
1356361|000786674|1|880977|5051746730930
1356436|000499292|1|881127|0080694782000
1356440|000802406|1|881135|0044211097459
1356441|000792001|1|881137|0080694781898
1356445|000802407|1|881145|0044211097466
1356547|000781697|1|881346|0737872288488
1356550|000781699|1|881352|0737872288501
1356552|000781707|1|881356|0737872286828
1356554|000781709|1|881360|0737872286842
1356558|000781710|1|881368|0737872286859
1356560|000781718|1|881372|0737872286866
1356628|000773089|1|881506|5023518757353
1356947|001764586|1|882141|0889645928777
1356948|000890542|1|882143|0889645072425
1356949|000598124|1|882145|0889645070148
1356951|001764596|1|882149|0889645928791
1356952|000598126|1|882151|0889645070162
1356954|000598127|1|882155|0889645070186
1356956|000598137|1|882159|0889645070209
1356959|000598159|1|882165|0889645070230
1356963|000890097|1|882173|0889645070193
1356964|000890099|1|882175|0889645070223
1356965|000890101|1|882177|0889645070254
1357222|000423671|1|882689|0753759154363
1357586|000003636|1|883416|4549957581751
1357589|000003643|1|883422|4549957581775
1357701|000752395|1|883645|0888855059998
1357704|000503420|1|883651|0888855059356
1357705|000752397|1|883653|0888855060031
1357708|000772898|1|883659|0888855059301
1357709|000752398|1|883661|0888855060055
1357710|000752399|1|883663|0888855060079
1357711|000772899|1|883665|0888855059370
1357712|000752416|1|883667|0888855060116
1357713|000772900|1|883669|0888855059417
1357715|000752420|1|883673|0888855060123
1357716|000772901|1|883675|0888855059431
1357719|000770374|1|883681|0888855060130
1357721|000772908|1|883685|0888855059479
1357725|000772910|1|883693|0888855059332
1357870|000022608|1|883981|0636926084840
1357874|000022611|1|883989|0636926085229
1358022|000877363|1|884282|0045235912360
1358470|000374810|1|885176|0753759120641
1359101|000670296|1|886431|0720026474653
1359105|000670316|1|886439|0720026474677
1359108|000670328|1|886445|0720026474691
1359111|000670350|1|886449|0720026474714
1359113|000670362|1|886455|0720026474738
1359114|000931019|1|886457|0720026474660
1359118|000931020|1|886465|0720026474684
